close,fast_ema,high,low,open,slow_ema,volatility_percent,atr_to_price_ratio,avpchange,gma,gma_smoothed,positionBetweenBands,bollinger_position,choppiness_index,close_price_next
94401.14,94017.24638268,94509.42,93489.03,93576.0,93968.7479988929,4.99946293021462,0.0163188858222596,0.0602406882632243,0.164029762417993,0.147872400438886,66.1548926157981,0.661548926157981,50.8906597251456,93607.74
93607.74,93812.49319134,94408.72,93578.77,94401.13,93934.3662847114,5.0418373523386,0.0165482947000847,0.0544318165287948,0.166968011624459,0.157420205993168,44.7020766808196,0.447020766808196,52.5625180953092,94098.91
94098.91,93955.70159567,94105.12,93594.56,93607.74,93950.037114733,5.01552037106488,0.016061177450901,0.0338005049833305,0.158857299083689,0.158138752103835,56.1261884726624,0.561261884726624,51.8897325755917,93838.04
93838.04,93896.870797835,94098.91,93728.22,94098.9,93939.3707228434,5.02946353099447,0.0155197423106475,0.036542956421753,0.136131233002597,0.147134986308951,47.3304932745171,0.473304932745171,48.0509251099084,93553.91
93553.91,93725.3903989175,93838.04,93500.0,93838.04,93902.660177819,5.04473837598023,0.014971145353471,0.00535498403979132,0.101110293225159,0.124122637392646,37.2304830755806,0.372304830755806,49.5870148652278,93792.02
93792.02,93758.7051994588,93937.19,93547.4,93553.91,93892.1230179989,5.03193128797098,0.0144601849412533,-0.00398508496564361,0.0725025684750415,0.0983126005193927,42.2957371887713,0.422957371887713,52.726085834261,93757.58
93757.58,93758.1425997294,93792.02,93568.38,93792.02,93879.3093972395,5.03377966880118,0.0137730040706068,-0.00157833926545737,0.0673456025401928,0.0828290970258252,38.8133877530034,0.388133877530034,59.3283567292539,93684.1
93684.1,93721.1212998647,93800.0,93664.08,93757.57,93860.7180260916,5.03772785349916,0.0130065110254378,-0.011986344889843,0.0533991503695718,0.068114118647886,33.9950758503485,0.339950758503485,69.8826537973487,93428.46
93428.46,93574.7906499323,93756.02,93304.0,93684.11,93819.5505950192,5.0515121409472,0.0128016839502605,-0.0317447615541742,0.0396639897869099,0.0538890494600196,22.0061026666402,0.220061026666402,66.5797836712272,93413.06
93413.06,93493.9253249662,93486.29,92888.0,93428.47,93780.8372050272,5.05234492907095,0.0128042061234161,-0.0486421421279895,0.0334795398372362,0.043684289684995,22.857254422637,0.22857254422637,55.45309331648,93326.23
93326.23,93410.0776624831,93536.75,93284.0,93413.07,93737.5412807512,5.05704559157699,0.0122875736662016,-0.0575233305903977,0.0283979621869541,0.0360411199877778,21.3644836071439,0.213644836071439,52.5331786431237,93444.64
93444.64,93427.3588312416,93705.08,93200.0,93326.24,93709.6459206817,5.0506374683449,0.0121675923939434,-0.0596015065902731,0.0288768181171684,0.0324589631360144,27.2724257608764,0.272724257608764,52.7986397211759,93820.76
93820.76,93624.0594156208,93972.0,93407.07,93444.65,93720.2282139529,5.03038986254215,0.0121133804459912,-0.0399775404910528,0.0209789445455568,0.0267189453800727,41.9141589177216,0.419141589177216,53.0347642855099,94031.76
94031.76,93827.9097078104,94058.79,93600.28,93820.75,93749.8979078587,5.01910205658174,0.0119194874181139,-0.0145021928005152,0.00716885833966321,0.0169438901503042,50.5381092250147,0.505381092250147,53.4811706170787,94175.89
94175.89,94001.8998539052,94450.85,93671.48,94031.77,93790.4685833004,5.01142065129409,0.0122333972267637,0.00235207105950521,0.00350565820934016,0.0102247742165985,59.2238061654728,0.592238061654728,53.4765354320121,94432.94
94432.94,94217.4199269526,94500.0,93900.0,94175.89,93851.6563372229,4.99777937656077,0.0122363354649846,0.0223096122370621,-0.0153878513370523,-0.00258153728284254,77.3497658865624,0.773497658865624,50.9187984308852,94090.49
94090.49,94153.9549634763,94492.0,93922.0,94432.94,93874.402400345,5.01596920156331,0.0122690938803676,0.0216400117709657,-0.0202132851009352,-0.011397411205601,65.747064699022,0.65747064699022,51.2815338381773,94143.85
94143.85,94148.9024817382,94189.16,93760.93,94090.5,93900.0640765128,5.01312618933685,0.0120360837980013,0.0118289562308738,-0.021334713241549,-0.01636606236278,75.1855053767333,0.751855053767333,51.6293974107623,94340.06
94340.06,94244.4812408691,94380.44,93936.44,94143.84,93941.9684501752,5.0026998074837,0.0118254585302721,0.0254395454480844,-0.0256621917033867,-0.0210141277761688,88.8342007071587,0.888342007071587,52.2617513908599,94627.07
94627.07,94435.7756204346,94823.75,94148.34,94340.06,94007.2162168355,4.98752629665063,0.0119671343762148,0.0497172791582748,-0.0292961861946896,-0.0251551631850606,102.956459918283,1.02956459918283,46.9805048023195,94786.23
94786.23,94611.0028102173,94852.7,94579.83,94627.08,94081.4080056745,4.97915150755548,0.0115049360218077,0.0729135740191118,-0.0285511119373009,-0.0268531312181552,106.203030299789,1.06203030299789,46.6958996902699,94978.48
94978.48,94794.7414051086,95151.15,94687.87,94786.23,94166.8434337283,4.96907299421933,0.0113583501310404,0.0922062812666584,-0.0238790002840651,-0.0253660475192108,107.884429478625,1.07884429478625,43.135044980019,94802.98
94802.98,94798.8607025543,94997.32,94685.81,94978.48,94227.4278685996,4.9782717800643,0.011035973780967,0.0966964465417175,-0.0176263321469563,-0.0214961861315641,93.0555191637733,0.930555191637733,42.373812567745,94591.79
94591.79,94695.3253512772,94952.29,94542.0,94802.99,94262.1290239815,4.98938649961059,0.0108902093735684,0.0825485636806349,-0.00130200909949999,-0.0113991109951575,79.4190672637765,0.794190672637765,46.9516696363649,95128.59
95128.59,94911.9576756386,95381.7,94392.0,94591.78,94344.6491169247,4.96123194930147,0.0115415333981092,0.0983545337266805,0.0171993836866979,0.00290009814854761,100.413516113282,1.00413516113282,46.6536368171241,94862.72
