atr,atr_stop,atr_to_price_ratio,fast_ema,slow_ema,ema_fast_deviation,pchange,avpchange,gma,positionBetweenBands,choppiness_index,volatility_percent,rsi_volatility,adx,rsi_delta,linear_regression,close_diff,normalized_price_change,rolling_mean_close,rolling_std_close,close,close_price_next,target_return
270.41369629,540.82739258,0.01252380,43101.58593750,42818.05468750,-82.39584351,0.23543453,0.14105923,-0.00233793,91.20736694,52.49258041,5.01278496,64.64933014,24.71335983,4.14652634,3.89214420,82.39584351,0.04696680,42995.53515625,139.09677124,43183.98046875,43154.33984375,-0.00068637
265.02700806,530.05401611,0.01228275,43127.96093750,42850.08203125,-26.37792397,0.30668989,0.15450338,0.02692857,85.89724731,57.63866806,5.01622772,64.92729187,23.84824562,-1.23958492,3.66832924,26.37792397,0.06113954,43037.72656250,111.71911621,43154.33984375,43445.32031250,0.00674277
277.81079102,555.62158203,0.01278899,43286.64062500,42906.77343750,-158.67895508,0.60153776,0.17937860,0.05520354,100.70526123,47.40972137,4.98263121,59.97178650,23.52493668,6.51687384,3.53510547,158.67895508,0.12072691,43062.70312500,165.76882935,43445.32031250,43366.19921875,-0.00182114
274.48715210,548.97430420,0.01265904,43326.42187500,42950.52734375,-39.77947998,0.48853716,0.19911030,0.09252388,91.59084320,48.86302567,4.99172163,60.84265900,23.21456337,-3.27939939,3.29258966,39.77947998,0.09786945,43097.41015625,190.16874695,43366.19921875,43323.80859375,-0.00097749
283.21450806,566.42901611,0.01307431,43325.11718750,42986.07812500,1.30525959,-0.28046933,0.18600549,0.11041856,85.44568634,53.20379639,4.99660587,61.32945633,23.14865112,-1.75322104,3.05043554,-1.30525959,-0.05613196,43138.43750000,190.35119629,43323.80859375,43428.85156250,0.00242453
273.26632690,546.53265381,0.01258455,43376.98437500,43028.24609375,-51.86737061,0.14425895,0.18884520,0.11202846,88.48565674,56.02070999,4.98452044,59.36293411,23.08537483,2.44107938,2.86991215,51.86737061,0.02894138,43190.03515625,192.33459473,43428.85156250,43566.50000000,0.00316955
282.59802246,565.19604492,0.01297318,43471.74218750,43079.50781250,-94.75868225,0.55705643,0.20799531,0.11703057,92.47916412,51.29563522,4.96877193,56.80665207,23.37033463,2.93725181,2.72024679,94.75868225,0.11211147,43255.39453125,198.64433289,43566.50000000,43426.00000000,-0.00322495
283.84674072,567.69348145,0.01307266,43448.87109375,43112.50781250,22.87065697,-0.00656289,0.20330860,0.12559879,81.27371216,51.11495590,4.95088196,53.96387863,23.64389801,-5.96611691,2.35883069,-22.87065697,-0.00132560,43299.92968750,179.17208862,43426.00000000,43358.30859375,-0.00155874
275.12838745,550.25677490,0.01269092,43403.58984375,43135.91796875,45.28032684,-0.48016170,0.17765416,0.13643067,75.04879761,50.00539017,4.95861101,55.01138687,23.69342422,-2.70577955,1.97646570,-45.28032684,-0.09683389,43327.53125000,162.39729309,43358.30859375,43408.41015625,0.00115549
262.77349854,525.54699707,0.01210703,43406.00000000,43161.87109375,-2.40983558,-0.04052210,0.16866295,0.15105800,76.50154114,50.83755493,4.95288801,54.03104782,23.74097061,1.31851435,1.44742060,2.40983558,-0.00818151,43366.17187500,122.75122070,43408.41015625,43314.00000000,-0.00217492
